text,pos,total,pos_unique
народ поднял верховный жезел,"['NOUN', 'VERB', 'ADJ', 'NOUN']",4,3
государь идет улицам,"['NOUN', 'VERB', 'NOUN']",3,2
народ восстал раньше грезил,"['NOUN', 'VERB', 'ADV', 'VERB']",4,3
дворец цезарь раненый сутулится,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
царский плащ окутанный широко,"['ADJ', 'NOUN', 'VERB', 'ADV']",4,4
падаю мраморным ступеням,"['VERB', 'ADJ', 'NOUN']",3,3
клич свободе изменим,"['NOUN', 'NOUN', 'VERB']",3,2
пронесся владивостока,"['VERB', 'NOUN']",2,2
свободы песни снова поют,"['NOUN', 'NOUN', 'ADV', 'VERB']",4,3
песен пороха народ зажегся,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
кумир свободы люди перельют,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
поезд бегства отрекся,"['NOUN', 'NOUN', 'VERB']",3,2
крылатый дух вечернего собора,"['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
чугунный взгляд косит пулеметы,"['ADJ', 'NOUN', 'VERB', 'NOUN']",4,3
ярость бранного позора,"['NOUN', 'ADJ', 'NOUN']",3,2
жрица рвущая тенёта,"['NOUN', 'VERB', 'VERB']",3,2
сделал народной крови темных снегирей,"['VERB', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",5,3
бросил около пылающих знамен,"['VERB', 'ADP', 'VERB', 'NOUN']",4,3
подругу одевая гирей,"['NOUN', 'VERB', 'NOUN']",3,2
сноп уменьшительных имен,"['NOUN', 'ADJ', 'NOUN']",3,2
проклятья дни ужасных мук ужасный стон,"['NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",6,2
ржавчина цвель,['NOUN'],1,1
каждом зипуне мерещится дантон,"['DET', 'NOUN', 'VERB', 'NOUN']",4,3
каждым деревом кромвель,"['DET', 'NOUN', 'NOUN']",3,2
свобода приходит нагая,"['NOUN', 'VERB']",2,2
бросая сердце цветы,"['VERB', 'NOUN', 'NOUN']",3,2
нею ногу шагая,"['PRON', 'NOUN', 'VERB']",3,3
беседуем небом,"['VERB', 'NOUN']",2,2
воины смело ударим,"['NOUN', 'ADV', 'VERB']",3,3
рукой суровым щитам,"['NOUN', 'ADJ', 'NOUN']",3,2
народ государем,"['NOUN', 'NOUN']",2,1
навсегда,['ADV'],1,1
пусть девы споют оконца,"['PART', 'NOUN', 'VERB', 'NOUN']",4,3
меж песен древнем походе,"['ADP', 'NOUN', 'ADJ', 'NOUN']",4,3
верноподданном солнца,"['ADJ', 'NOUN']",2,2
самосвободном народе,"['ADJ', 'NOUN']",2,2
вчера молвил гулля гулля,"['ADV', 'VERB', 'NOUN', 'NOUN']",4,3
войны прилетели клевали,"['NOUN', 'VERB', 'VERB']",3,2
рук моих зерно,"['NOUN', 'DET', 'NOUN']",3,2
мной склонился дедер,"['PRON', 'VERB', 'NOUN']",3,3
обвитый перьями гробов,"['VERB', 'NOUN', 'NOUN']",3,2
мышеловкою бедер,"['NOUN', 'NOUN']",2,1
мышью судеб зубов,"['NOUN', 'NOUN', 'NOUN']",3,1
крива извилистая ость,"['ADJ', 'ADJ', 'NOUN']",3,2
злы синеющие зины,"['ADJ', 'VERB', 'NOUN']",3,3
белая лебедь кость,"['ADJ', 'NOUN', 'NOUN']",3,2
глазами зетит корзины,"['NOUN', 'VERB', 'NOUN']",3,2
молвил горе мышелов,"['VERB', 'NOUN', 'NOUN']",3,2
судьбу устами держишь,"['NOUN', 'NOUN', 'VERB']",3,2
ответил судьболов,"['VERB', 'NOUN']",2,2
волей чисел ломодержец,"['NOUN', 'NOUN', 'NOUN']",3,1
мавы солнечных одеждах,"['ADP', 'ADJ', 'NOUN']",3,3
сзади кожи лишены,"['ADV', 'NOUN', 'VERB']",3,3
пляской конницы веждах,"['NOUN', 'NOUN', 'NOUN']",3,1
проходят именем жены,"['VERB', 'NOUN', 'NOUN']",3,2
кружась волшебною жемчуркой,"['VERB', 'ADJ', 'NOUN']",3,3
кричали веле веле,"['VERB', 'NOUN']",2,2
солнцу прилепив окурок,"['NOUN', 'VERB', 'NOUN']",3,2
призраки летели,"['NOUN', 'VERB']",2,2
русские мальчики львами,"['ADJ', 'NOUN', 'NOUN']",3,2
года охранявшие народный улей,"['NOUN', 'VERB', 'ADJ', 'NOUN']",4,3
знайте любовался вами,"['VERB', 'VERB', 'PRON']",3,2
затыкали дыры труда,"['VERB', 'NOUN', 'NOUN']",3,2
бросались гуда,"['VERB', 'NOUN']",2,2
львиная голая грудь,"['ADJ', 'ADJ', 'NOUN']",3,2
заслон свистящей пули,"['NOUN', 'VERB', 'NOUN']",3,2
всюду веселы молоды,"['ADV', 'ADJ', 'ADJ']",3,2
белокурые засыпая пушках,"['ADJ', 'VERB', 'NOUN']",3,3
искали холода голода,"['VERB', 'NOUN', 'NOUN']",3,2
забыв постели подушках,"['VERB', 'NOUN', 'NOUN']",3,2
юные львы походили моряка,"['ADJ', 'NOUN', 'VERB', 'NOUN']",4,3
среди ядер свирепо - свинцовых,"['ADP', 'NOUN', 'ADJ', 'ADJ']",4,3
дыру котле,"['NOUN', 'NOUN']",2,1
паров улететь готовых,"['NOUN', 'VERB', 'ADJ']",3,3
вместо чугунных втул,"['ADP', 'ADJ', 'NOUN']",3,3
локтем своего тела смело заткнул,"['NOUN', 'DET', 'NOUN', 'ADV', 'VERB']",5,4
шипит дымится рука,"['VERB', 'VERB', 'NOUN']",3,2
море пахнет жарким каким,"['NOUN', 'VERB', 'ADJ', 'DET']",4,4
редкое жаркое мясо человека,"['ADJ', 'ADJ', 'NOUN', 'NOUN']",4,2
пар телом заперт,"['NOUN', 'NOUN', 'VERB']",3,2
пары летят,"['NOUN', 'VERB']",2,2
судно послало свистящий снаряд,"['NOUN', 'VERB', 'VERB', 'NOUN']",4,2
юношам кричавшим,"['NOUN', 'VERB']",2,2
прочь мировой сове,"['ADV', 'ADJ', 'NOUN']",3,3
совет,['NOUN'],1,1
смело вскочите плечи старших поколений,"['ADV', 'VERB', 'NOUN', 'ADJ', 'NOUN']",5,4
сделали ступени,"['VERB', 'NOUN']",2,2
оттуда видней,"['ADV', 'ADJ']",2,2
далёко,['ADV'],1,1
увидит ваше око,"['VERB', 'DET', 'NOUN']",3,3
высеченное плеткой меньшего числа дней,"['VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN']",5,3
слово пою,"['NOUN', 'VERB']",2,2
огневод пота струями покрытый пастушеской шкуре пепла дыма копоти,"['ADV', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN']",9,4
темный смуглый,"['ADJ', 'ADJ']",2,1
белым поленом кормил,"['ADJ', 'NOUN', 'VERB']",3,3
дровоядного зверя огня,"['ADJ', 'NOUN', 'NOUN']",3,2
желтозарный прятался смертью,"['ADJ', 'VERB', 'NOUN']",3,3
