text,pos,total,pos_unique
странник видел,"['NOUN', 'VERB']",2,2
конь,['NOUN'],1,1
замученный дико оком поводя,"['VERB', 'ADV', 'NOUN', 'VERB']",4,3
тихую поверхность вод голубых,"['ADJ', 'NOUN', 'NOUN', 'ADJ']",4,2
пену ронял,"['NOUN', 'VERB']",2,2
знаешь кони,"['VERB', 'NOUN']",2,2
страдании муках,"['NOUN', 'NOUN']",2,1
пеною плачут слез,"['NOUN', 'VERB', 'NOUN']",3,2
странник взгляни вон облако,"['NOUN', 'VERB', 'ADV', 'NOUN']",4,3
чернеющее разорванными краями,"['VERB', 'VERB', 'NOUN']",3,2
одно лазури небес,"['NUM', 'NOUN', 'NOUN']",3,2
знай это земля уронила,"['VERB', 'PRON', 'NOUN', 'VERB']",4,3
лазурные воды небес,"['ADJ', 'NOUN', 'NOUN']",3,2
миг страдания миг падения ярмом судьбы,"['NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN']",6,1
ту пену уронила,"['DET', 'NOUN', 'VERB']",3,3
миг проклятье уст кротких,"['NOUN', 'NOUN', 'NOUN', 'ADJ']",4,2
дерзко сорваться готово …,"['ADV', 'VERB', 'ADJ']",3,3
говорил седовласый араб,"['VERB', 'ADJ', 'NOUN']",3,3
камне ровеснике мира сидя,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
посохом ручья тревожа многоструйный бег,"['NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN']",5,3
ветке,['NOUN'],1,1
сидели птица гнева,"['VERB', 'NOUN', 'NOUN']",3,2
птица любви,"['NOUN', 'NOUN']",2,1
опустилась ветку,"['VERB', 'NOUN']",2,2
птица спокойствия,"['NOUN', 'NOUN']",2,1
клекотом,['NOUN'],1,1
поднялась птица гнева,"['VERB', 'NOUN', 'NOUN']",3,2
поднялась птица,"['VERB', 'NOUN']",2,2
любви,['NOUN'],1,1
мирооси данник звездный,"['NOUN', 'NOUN', 'ADJ']",3,2
омчусь колесо,"['VERB', 'NOUN']",2,2
пролетая миг бездной,"['VERB', 'NOUN', 'ADJ']",3,3
задевая краем бездны,"['VERB', 'NOUN', 'NOUN']",3,2
учусь словесо,['VERB'],1,1
будрое дитя мови,"['ADJ', 'NOUN', 'X']",3,3
будешь червивым мешком,"['AUX', 'ADJ', 'NOUN']",3,3
мешком туго завязанным,"['NOUN', 'ADV', 'VERB']",3,3
полным краев,"['ADJ', 'NOUN']",2,2
буду любимцем звезд,"['AUX', 'NOUN', 'NOUN']",3,2
буду балуя править,"['AUX', 'VERB', 'VERB']",3,2
звездной конницей,"['ADJ', 'NOUN']",2,2
сполохо гривой,"['ADV', 'NOUN']",2,2
поклонимся знак внимания,"['VERB', 'NOUN', 'NOUN']",3,2
пояса,['NOUN'],1,1
будрому дитяти,"['ADJ', 'NOUN']",2,2
познал числа,"['VERB', 'NOUN']",2,2
узнал жизнь,"['VERB', 'NOUN']",2,2
лесть смысла,"['NOUN', 'NOUN']",2,1
песнь немизн,['NOUN'],1,1
былеликий сны копыта …,"['ADJ', 'NOUN', 'NOUN']",3,2
милый диким бег забытое …,"['ADJ', 'ADJ', 'NOUN', 'VERB']",4,3
зори лица,"['NOUN', 'NOUN']",2,1
ночи темя,"['NOUN', 'NOUN']",2,1
веселия божницы …,"['NOUN', 'NOUN']",2,1
улетающее стремя …,"['VERB', 'NOUN']",2,2
умных лесах правей лесовой,"['ADJ', 'NOUN', 'NOUN', 'ADJ']",4,2
милых водах силен водяной,"['ADJ', 'NOUN', 'ADJ', 'ADJ']",4,2
домах честен домовой,"['NOUN', 'ADJ', 'ADJ']",3,2
народе славяной,"['NOUN', 'ADJ']",2,2
зыбит - снует молва,"['VERB', 'VERB', 'NOUN']",3,2
нею славень славен,"['PRON', 'NOUN', 'ADJ']",3,3
тебе поем родун,"['PRON', 'VERB', 'NOUN']",3,3
тебе поем бывун,"['PRON', 'VERB']",2,2
тебе поем радуя,"['PRON', 'VERB', 'VERB']",3,2
научи лесовой,"['VERB', 'ADJ']",2,2
разучи волхвовой,"['NOUN', 'ADJ']",2,2
звездном лесе теряться,"['ADJ', 'NOUN', 'VERB']",3,3
звездной тайны бояться,"['ADJ', 'NOUN', 'VERB']",3,3
тебе поем ведун,"['PRON', 'VERB', 'NOUN']",3,3
тебе поем седун,"['PRON', 'VERB', 'NOUN']",3,3
тебе поем владун,"['PRON', 'VERB', 'NOUN']",3,3
ведал,['VERB'],1,1
ненарекаемость возничего,"['NOUN', 'NOUN']",2,1
неизбытность полевичего,"['NOUN', 'ADJ']",2,2
ненасытность огневичего,"['NOUN', 'ADJ']",2,2
нерассыпность водяничего,"['NOUN', 'ADJ']",2,2
мировичий дух надзвездный зазвездал,"['ADJ', 'NOUN', 'ADJ', 'VERB']",4,3
синим лоном неба обитаем последний одинокий,"['ADJ', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'ADJ']",6,3
мирес иных изведал жажду конины солью отведал,"['NOUN', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB']",7,3
иных новин победы жажду,"['ADJ', 'NOUN', 'NOUN', 'NOUN']",4,2
мирийные целины просек оралом звездным,"['ADJ', 'NOUN', 'VERB', 'NOUN', 'ADJ']",5,3
разгреб валом бездны мировинные целины,"['VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN']",5,3
быльняк зорецветный,"['NOUN', 'ADJ']",2,2
далеве лет,"['NOUN', 'NOUN']",2,1
возрос берегу реки,"['VERB', 'NOUN', 'NOUN']",3,2
струйна река моей тоски,"['ADJ', 'NOUN', 'DET', 'NOUN']",4,3
зыбкий вивкий перевивкий,"['ADJ', 'ADJ', 'ADJ']",3,1
зыбкий листьях жизни марев,"['ADJ', 'NOUN', 'NOUN', 'VERB']",4,3
стопу степу изливкий,"['NOUN', 'VERB', 'ADJ']",3,3
быви будь меняя избытость,"['VERB', 'AUX', 'VERB', 'NOUN']",4,3
стоглазое стоустое,"['ADJ', 'ADJ']",2,1
хребет ярит щетинит горбатит,"['NOUN', 'NOUN', 'VERB', 'VERB']",4,2
стобывное бусло,"['ADJ', 'NOUN']",2,2
старуха - веруха тайной сидит,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
радуха - родуха ветке вопит,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
далями златом падал туман,"['NOUN', 'NOUN', 'VERB', 'NOUN']",4,2
явями высился дальний курган,"['NOUN', 'VERB', 'ADJ', 'NOUN']",4,3
время валом смелых дел,"['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
берегиня милины,"['NOUN', 'NOUN']",2,1
край инее задел,"['NOUN', 'NOUN', 'VERB']",3,2
вспыхнут гневным инири,"['VERB', 'ADJ', 'NOUN']",3,3
понять иное смел,"['VERB', 'ADJ', 'VERB']",3,2
пойди чужой удел,"['VERB', 'ADJ', 'NOUN']",3,3
небистели небистели,"['NOUN', 'NOUN']",2,1
озарив красу любин,"['VERB', 'NOUN', 'NOUN']",3,2
стонали любистели,"['VERB', 'NOUN']",2,2
хохотали каждый ин,"['VERB', 'DET', 'NOUN']",3,3
нежные милые личики,"['ADJ', 'ADJ', 'NOUN']",3,2
сменялись вершиной кудрей,"['VERB', 'NOUN', 'NOUN']",3,2
уст струилися клиники,"['NOUN', 'VERB', 'NOUN']",3,2
смотрите живите бодрей,"['VERB', 'VERB', 'NOUN']",3,2
мизинич миг,"['VERB', 'NOUN']",2,2
скользнув средь двух часов,"['VERB', 'ADP', 'NUM', 'NOUN']",4,4
создал поцелуйный лик,"['VERB', 'ADJ', 'NOUN']",3,3
крик страстей стыд оков,"['NOUN', 'NOUN', 'NOUN', 'NOUN']",4,1
лаская отпустил,"['VERB', 'VERB']",2,1
нем память сохранил,"['PRON', 'NOUN', 'VERB']",3,3
мальчике кудрявом,"['NOUN', 'NOUN']",2,1
час работ,"['NOUN', 'NOUN']",2,1
час забавы,"['NOUN', 'NOUN']",2,1
нем нежно вспоминаю,"['PRON', 'ADV', 'VERB']",3,3
ласкою отменной провожая,"['NOUN', 'ADJ', 'VERB']",3,3
зову прошу,"['NOUN', 'VERB']",2,2
будь гостем дорогим,"['AUX', 'NOUN', 'ADJ']",3,3
времянин,['NOUN'],1,1
времянку настиг,"['NOUN', 'VERB']",2,2
поцелуйный,['ADJ'],1,1
создал миг,"['VERB', 'NOUN']",2,2
очнулся,['VERB'],1,1
дальше лечу,"['ADV', 'VERB']",2,2
яр окунулся,"['NOUN', 'VERB']",2,2
глуби тону,"['ADJ', 'NOUN']",2,2
крыльями слылий,"['NOUN', 'NOUN']",2,1
черпаю денину,"['VERB', 'NOUN']",2,2
кладязя голубя,"['VERB', 'NOUN']",2,2
черпаю водину,"['VERB', 'NOUN']",2,2
русалка телом голубым,"['NOUN', 'NOUN', 'ADJ']",3,2
немоб осенних красоту,"['NOUN', 'ADJ', 'NOUN']",3,2
воспеть хотела,"['VERB', 'VERB']",2,1
туда туда,"['ADV', 'ADV']",2,1
вмиг реке вмиг волну,"['ADV', 'NOUN', 'ADV', 'NOUN']",4,2
туда рень туда пена,"['ADV', 'VERB', 'ADV', 'NOUN']",4,3
цель тело,"['NOUN', 'NOUN']",2,1
плен полон,"['NOUN', 'ADJ']",2,2
ужас слышу зеленая жена,"['NOUN', 'VERB', 'ADJ', 'NOUN']",4,3
вопль толпа испугом,"['NOUN', 'NOUN', 'NOUN']",3,1
ужас ужас сором,"['NOUN', 'NOUN', 'NOUN']",3,1
простыне высокому небу,"['NOUN', 'ADJ', 'NOUN']",3,2
русалочьего заманника подбрасывают,"['ADJ', 'NOUN', 'VERB']",3,3
плескиня дева водных дел радея красоте,"['NOUN', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN']",6,3
играла сияла служила немоте,"['VERB', 'VERB', 'VERB', 'NOUN']",4,2
крыльными грустильями воздела темноте,"['ADJ', 'NOUN', 'VERB', 'NOUN']",4,3
дева векиня векиня веках,"['NOUN', 'NOUN', 'VERB', 'NOUN']",4,2
векуя свой век огнелетных венках,"['VERB', 'DET', 'NOUN', 'ADJ', 'NOUN']",5,4
долево - зарево бросила сень,"['ADV', 'NOUN', 'VERB', 'NOUN']",4,3
гласом марева кликнула день,"['NOUN', 'NOUN', 'VERB', 'NOUN']",4,2
день восторгнулся день ужаснулся день восстает,"['NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'VERB']",6,2
день свое вено векине несет,"['NOUN', 'DET', 'ADJ', 'NOUN', 'VERB']",5,4
дева ликуя целует молвит жених,"['NOUN', 'VERB', 'VERB', 'NOUN', 'NOUN']",5,2
ветка качается отныне двоих,"['NOUN', 'VERB', 'ADV', 'NUM']",4,4
зеленейности полей,"['NOUN', 'NOUN']",2,1
услышал глас призывный,"['VERB', 'NOUN', 'ADJ']",3,3
глас узывный стой нейди,"['NOUN', 'ADJ', 'VERB', 'NOUN']",4,3
сей глас полей,"['DET', 'NOUN', 'NOUN']",3,2
усталость нозех,"['NOUN', 'NOUN']",2,1
дремота,['NOUN'],1,1
иду бози,['VERB'],1,1
скучна весь,"['ADJ', 'DET']",2,2
ходи клюка служи рука,"['VERB', 'NOUN', 'ADJ', 'NOUN']",4,3
тужи нога служи нога,"['ADJ', 'NOUN', 'VERB', 'NOUN']",4,3
устали нози долог путь,"['VERB', 'NOUN', 'ADJ', 'NOUN']",4,3
устали очи виден путь,"['VERB', 'NOUN', 'ADJ', 'NOUN']",4,3
иду бози долог путь,"['VERB', 'ADV', 'ADJ', 'NOUN']",4,4
ах камне отдохнуть,"['INTJ', 'NOUN', 'VERB']",3,3
мыслевом - кружевом кружевом - тужевом тын воздвиг сладостный младостный радостный миг стою отрады оградой моей заревом - маревом мысли твоей роняю мир стаи веселых теней мыслевом - заревом сень озарил гуслями далями день подарил мороком - ворогом стою мести взывая песнь пою песни рыдая месть создаю гуслями странными дальним курганам весть подаю немости бранными ревности званными пенности звонами весть подаю пленности манною тленности данною месть создаю,"['NOUN', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'DET', 'NOUN', 'ADJ', 'NOUN', 'DET', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'VERB']",62,5
порохом - облаком ворог идет,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
города - волода ковы несет,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
лук натянулся лук задрожал,"['NOUN', 'VERB', 'NOUN', 'VERB']",4,2
ногам моим камнем недруг упал,"['NOUN', 'DET', 'NOUN', 'NOUN', 'VERB']",5,3
торжествую победу кричу,"['VERB', 'NOUN', 'VERB']",3,2
долы веселые тайный лечу,"['NOUN', 'ADJ', 'ADJ', 'VERB']",4,3
огнивом - сечивом высек мир,"['NOUN', 'NOUN', 'VERB', 'NOUN']",4,2
зыбку - улыбку устам поднес,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
куревом - маревом дол озарил,"['ADJ', 'ADJ', 'NOUN', 'VERB']",4,3
сладкую дымность бывшем вознес,"['ADJ', 'NOUN', 'ADJ', 'VERB']",4,3
живностынь старого черепа,"['NOUN', 'ADJ', 'NOUN']",3,2
юркнули серости мыши,"['VERB', 'NOUN', 'NOUN']",3,2
милостынь старого береда,"['NOUN', 'ADJ', 'NOUN']",3,2
венчание царственной крыше,"['NOUN', 'ADJ', 'NOUN']",3,2
белостыня снеглых птиц,"['NOUN', 'ADJ', 'NOUN']",3,2
благостыня неглых лиц,"['NOUN', 'ADJ', 'NOUN']",3,2
думовым ловом ведовым словом,"['ADJ', 'NOUN', 'ADJ', 'NOUN']",4,2
отведите холод зимний,"['VERB', 'NOUN', 'ADJ']",3,3
назовите любимый,"['VERB', 'VERB']",2,1
недобростынь вещего взгляда,"['NOUN', 'ADJ', 'NOUN']",3,2
седоширокость глубоких бровей …,"['NOUN', 'ADJ', 'NOUN']",3,2
звено обронено вещими дзядами,"['NOUN', 'VERB', 'VERB', 'NOUN']",4,2
пало долины людей,"['VERB', 'NOUN', 'NOUN']",3,2
могот подземных,"['NOUN', 'ADJ']",2,2
ярот земных,"['NOUN', 'ADJ']",2,2
излучена месть,"['VERB', 'NOUN']",2,2
нагот уземных,"['NOUN', 'ADJ']",2,2
стыдот наземных,"['NOUN', 'ADJ']",2,2
излучена лесть,"['VERB', 'NOUN']",2,2
изведана сладость,"['VERB', 'NOUN']",2,2
отпита чаша,"['VERB', 'NOUN']",2,2
радость радость,"['NOUN', 'NOUN']",2,1
наша,['DET'],1,1
заря слепотствует немливо,"['NOUN', 'VERB', 'ADV']",3,3
моря яротствуют стыдливо,"['NOUN', 'VERB', 'ADV']",3,3
дитя лепотствует стеня,"['NOUN', 'VERB', 'NOUN']",3,2
яротствую буйливо,"['VERB', 'ADV']",2,2
твоя твоя,"['DET', 'DET']",2,1
наш наш,"['DET', 'DET']",2,1
неяви кроткие ходят …,"['NOUN', 'ADJ', 'VERB']",3,3
откуда,['ADV'],1,1
сна бледнокудрые,"['NOUN', 'ADJ']",2,2
сон златокудрому,"['NOUN', 'NOUN']",2,1
сон тобой …,"['NOUN', 'PRON']",2,2
неяви сходились,"['NOUN', 'VERB']",2,2
неяви расходились …,"['NOUN', 'VERB']",2,2
смертирей беззыбких пляска,"['NOUN', 'ADJ', 'NOUN']",3,2
времирей узывных сказка,"['NOUN', 'ADJ', 'NOUN']",3,2
века дочка молодая,"['NOUN', 'NOUN', 'ADJ']",3,2
лета ночка золотая,"['NOUN', 'NOUN', 'ADJ']",3,2
дочка дочка лельных дней,"['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
дочка след ночей безумный,"['NOUN', 'NOUN', 'NOUN', 'ADJ']",4,2
иль вокруг чела бездумного,"['VERB', 'ADP', 'NOUN', 'ADJ']",4,4
смертири вьюнок свили,"['NOUN', 'NOUN', 'VERB']",3,2
неумь разумь безумь,"['VERB', 'VERB']",2,1
сестры плясали вместе,"['NOUN', 'VERB', 'ADV']",3,3
покрывальностях бездумий,"['NOUN', 'NOUN']",2,1
покрывальностях невесты,"['NOUN', 'NOUN']",2,1
руки нежные свились,"['NOUN', 'ADJ', 'VERB']",3,3
ноги нежные взвились,"['NOUN', 'ADJ', 'VERB']",3,3
всё кругом сплелось свилось,"['PRON', 'ADV', 'VERB', 'VERB']",4,3
вязкой манни расплылось,"['ADJ', 'NOUN', 'VERB']",3,3
дувь волн холодных моря,"['NOUN', 'NOUN', 'ADJ', 'NOUN']",4,2
вздымается мается,"['VERB', 'VERB']",2,1
холодных белых волн,"['ADJ', 'ADJ', 'NOUN']",3,2
холодно - соленая водь,"['ADJ', 'ADJ', 'NOUN']",3,2
кличет горе,"['VERB', 'NOUN']",2,2
клике дивно ясно море,"['NOUN', 'ADV', 'ADJ', 'NOUN']",4,3
гульба двух бурь,"['NOUN', 'NUM', 'NOUN']",3,2
двух зорь расторг,"['NUM', 'NOUN', 'VERB']",3,3
кричит могуль,"['VERB', 'NOUN']",2,2
восторг,['NOUN'],1,1
кричит могуль,"['VERB', 'NOUN']",2,2
двух зорь расторг,"['NUM', 'NOUN', 'VERB']",3,3
двух бурь разгул,"['NUM', 'NOUN', 'NOUN']",3,2
вьется звонкая чайка красивой пустыне,"['VERB', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",5,3
будизны залив немостынный,"['ADJ', 'NOUN', 'ADJ']",3,2
немизны пролив будостынный,"['ADJ', 'NOUN', 'ADJ']",3,2
зыбки - зыбки тростники,"['NOUN', 'NOUN', 'NOUN']",3,1
улетают челноки,"['VERB', 'NOUN']",2,2
закричали рыбаки,"['VERB', 'NOUN']",2,2
свирел свирель,"['VERB', 'NOUN']",2,2
мир хотел хотель,"['NOUN', 'VERB', 'VERB']",3,2
послушные свивались звезды плавный кружеток,"['ADJ', 'VERB', 'NOUN', 'ADJ', 'NOUN']",5,3
свирел свирель выполняя мира рок,"['VERB', 'NOUN', 'VERB', 'NOUN', 'NOUN']",5,2
небязь ворожич отрок прауны,"['NOUN', 'NOUN', 'NOUN', 'ADJ']",4,2
правит явями неба,"['VERB', 'NOUN', 'NOUN']",3,2
водязь морочич отрок леуны,"['NOUN', 'NOUN', 'NOUN', 'ADJ']",4,2
правит мноями вод,"['VERB', 'NOUN', 'NOUN']",3,2
небязь синонью взметнет,"['NOUN', 'NOUN', 'VERB']",3,2
водязь морок отведет,"['VERB', 'NOUN', 'VERB']",3,2
небязь зарево зовет,"['NOUN', 'NOUN', 'VERB']",3,2
водязь морок отметет,"['VERB', 'NOUN', 'VERB']",3,2
небич молвит вверху,"['NOUN', 'VERB', 'ADV']",3,3
водич молвит внизу,"['NOUN', 'VERB', 'ADV']",3,3
сказчичи оба,"['VERB', 'NUM']",2,2
уманна сказоба,"['ADJ', 'NOUN']",2,2
уманна зазывна,"['ADJ', 'ADJ']",2,1
заманна призывна,"['ADJ', 'ADJ']",2,1
маней сказобы,"['NOUN', 'NOUN']",2,1
таянная даль,"['ADJ', 'NOUN']",2,2
мороком видений,"['NOUN', 'NOUN']",2,1
осота бываний,"['NOUN', 'NOUN']",2,1
звороком свирений,"['NOUN', 'NOUN']",2,1
ясота рыданий,"['NOUN', 'NOUN']",2,1
гроб леунностей младых,"['NOUN', 'NOUN', 'ADJ']",3,2
веко милое упало,"['NOUN', 'ADJ', 'VERB']",3,3
смертнич смертнич свет-жених,"['NOUN', 'NOUN']",2,1
весь сон видала,"['DET', 'NOUN', 'VERB']",3,3
мельководы дальних водах,"['NOUN', 'ADJ', 'NOUN']",3,2
рыбных игр звенит струя,"['ADJ', 'NOUN', 'VERB', 'NOUN']",4,3
манна манна даль свободы,"['NOUN', 'NOUN', 'NOUN', 'NOUN']",4,1
дети дети это,"['NOUN', 'NOUN', 'PRON']",3,2
жилец - бывун мире,"['NOUN', 'ADP', 'NOUN']",3,2
близко вечность мог узнать,"['ADV', 'NOUN', 'VERB', 'VERB']",4,3
живет друзьями мире,"['VERB', 'NOUN', 'NOUN']",3,2
слывет бездумья мать,"['VERB', 'NOUN', 'NOUN']",3,2
жар - бог жар-бог,"['NOUN', 'NOUN']",2,1
молитвой мечу,"['NOUN', 'NOUN']",2,1
мира славный жародей,"['NOUN', 'ADJ', 'NOUN']",3,2
пошли навстречу,"['VERB', 'ADV']",2,2
стаю нежных жарирей,"['NOUN', 'ADJ', 'NOUN']",3,2
жар - бог жар-бог,"['NOUN', 'NOUN']",2,1
волю видеть огнезарную,"['NOUN', 'VERB', 'ADJ']",3,3
стаю дружных жарирей,"['NOUN', 'ADJ', 'NOUN']",3,2
дабы радугой стожарною,"['SCONJ', 'NOUN', 'ADJ']",3,3
вспыхнул морок наших дней,"['VERB', 'NOUN', 'DET', 'NOUN']",4,3
палюба - пагуба сладкоязычная,"['NOUN', 'NOUN', 'ADJ']",3,2
губови - любови дар сладкозначный,"['NOUN', 'NOUN', 'NOUN', 'ADJ']",4,2
полюбовники - погубовники милые,"['NOUN', 'NOUN', 'ADJ']",3,2
милые милые бедные,"['ADJ', 'ADJ', 'ADJ']",3,1
хотим,['VERB'],1,1
полюбы - погубы хотим милые,"['NOUN', 'NOUN', 'VERB', 'ADJ']",4,3
полюбы - погубы хотим бедные,"['NOUN', 'NOUN', 'VERB', 'ADJ']",4,3
бог вами дейяйте,"['NOUN', 'PRON', 'VERB']",3,3
знаете милые,"['VERB', 'ADJ']",2,2
женун женун,"['NOUN', 'NOUN']",2,1
одни лесной дреме,"['DET', 'ADJ', 'NOUN']",3,3
мыв друг друга влюблены,"['NOUN', 'NOUN', 'NOUN', 'VERB']",4,2
подруги жены,"['NOUN', 'NOUN']",2,1
друг друга любуны,"['NOUN', 'NOUN', 'ADJ']",3,2
погубовники полюбовники,"['NOUN', 'NOUN']",2,1
невесты жены,"['NOUN', 'NOUN']",2,1
друг друга влюблены,"['NOUN', 'NOUN', 'VERB']",3,2
одни стране зеленой,"['DET', 'NOUN', 'ADJ']",3,3
мужуния мужуния,"['NOUN', 'NOUN']",2,1
